       488000280CINTA VIDEO LIMP SONY L-25 CL (BETA)                              10,97      ,00      ,00  2010 11 20A
     40780759119ACC. FAGOR ME4-23 X           (PROMOCION)                           ,01      ,00      ,00& 2010 11 20A
     40885800113ENCIM VITRO INDESIT           VRM 640 X                          165,76   259,00      ,00  2010 11 20A
     40982030254TV PIONEER KRL-32 V                                                 ,00      ,00      ,00  2010 11 20A
     41887730622BOLSA TRANSPORTE TOMTOM ONE V4NEGRA (9UEA00100)                   17,48      ,00    22,90& 2010 11 20A
     41987730622BOLSA TRANSPORTE TOMTOM ONE V4MARRON (9UEA00101)                  17,48      ,00    22,90& 2010 11 20A
     43185800113ENCIM VITRO INDESIT           VRA 640 X                          172,48   275,00      ,00  2010 11 20A
     43599990398CAPTURADOR DE FIRMA INTERLINK EPAD-INK                           294,01      ,00   369,90& 2010 11 20A
     43870009119SILLA PLAYA ALUMINIO MILAR    VERDE MANZANA 008-19544426           8,00      ,00      ,00& 2010 11 20A
     44181300415TERMOVENTILADOR JATA TV68                                         12,33      ,00    20,00& 2010 11 20A
     44281300415TERMOVENTILADOR JATA SC2N     (SPLIT)                             32,43      ,00    50,00  2010 11 20A
     44699999119FUNDA PROTECTORA APPROCOVER   PARA ELECTRODOMESTICOS             134,01      ,00      ,00& 2010 11 20A
     45482220425RADIA ROWENTA BU2510                                              54,09      ,00    85,00& 2010 11 20A
     45582220425RADIA ROWENTA BU2520                                              60,33      ,00    95,00& 2010 11 20A
     46580550590ELECTRO ESTIMULADOR DAGA EEC                                      44,90      ,00    69,99  2010 11 20A
     46984750105MICRON ORBEGOZO MIG-2380      (INOX FRONTAL ESPEJO )              75,40      ,00   120,00  2010 11 20A
     47382700415CALEF TAURUS PTFH 2000        (946902)                            12,93      ,00    19,90  2010 11 20A
     47982700423EMISOR TAURUS DUBAI 600       (934989)                            97,26      ,00   154,99  2010 11 20A
     48282700423EMISOR TAURUS DUBAI 900       (934990)                           109,79      ,00   174,99& 2010 11 20A
     48382700423EMISOR TAURUS DUBAI 1200      (934991)                           125,48      ,00   199,99& 2010 11 20A
     48482700423EMISOR TAURUS DUBAI 2000      (934993)                           188,17      ,00   299,99& 2010 11 20A
     48582700423EMISOR TAURUS DUBAI 1500      (934992)                           156,82      ,00   249,99& 2010 11 20A
     48880110423EMISOR APELSON ACSR-5/A                                          139,05      ,00   216,00  2010 11 20A
     48980110423EMISOR APELSON ACSR-7/A                                          169,16      ,00   265,00  2010 11 20A
     49080110423EMISOR APELSON ACSR-9/A                                          199,26      ,00   312,00  2010 11 20A
     49180110423EMISOR APELSON ACSR-11/A                                         229,36      ,00   359,00  2010 11 20A
     49280110425RADIA APELSON AR-1000                                             23,10      ,00    34,90  2010 11 20A
     49380110425RADIA APELSON AR-1500                                             28,26      ,00    42,90  2010 11 20A
     49684750105MICRON ORBEGOZO MIG-2340 CE   (23LT.INOX  )                       94,48      ,00   150,00& 2010 11 20A
     50980550640CALIENTA CAMAS DAGA CMN-2                                         77,61      ,00   121,95  2010 11 20A
     51080550640CALIENTA CAMAS DAGA CMNX-2                                       104,10      ,00   164,00  2010 11 20A
     51280550640GUANTE DAGA GTDP              (TERMICO)                           91,26      ,00   140,99  2010 11 20A
     51380550640GUANTE DAGA GTDM              (TERMICO)                           91,26      ,00   140,99  2010 11 20A
     51480550640GUANTE DAGA GTDG              (TERMICO)                           91,26      ,00   140,99  2010 11 20A
     52083150640ALMO UFESA AL-5522                                                19,75      ,00    35,00& 2010 11 20A
     52183150640ALMO UFESA AL-5523                                                26,93      ,00    45,00& 2010 11 20A
     52283150640ALMO UFESA AL-5524            (LUMBAR)                            32,15      ,00    54,00  2010 11 20A
     52383150640ALMO UFESA AL-5525                                                29,64      ,00    50,00& 2010 11 20A
     53080630415CALEF DELONGHI DCH-4590 ER                                        51,09      ,00    80,00& 2010 11 20A
     53280630415CALEF DELONGHI DCH-3030                                           29,46      ,00    46,00& 2010 11 20A
     53884730621NAVEGADOR GPS GARMIN ETREX H  (010.00631.00)                      62,90      ,00    99,99  2010 11 20A
     54183750397TELEF LG KF-750 (EXCL)                                           211,95      ,00   268,00  2010 11 20A
     55181350580ACUMULADOR JUNKERS S-120 KP                                      398,11      ,00   725,00  2010 11 20A
     55782820635MANDO INALAMBRICO SONY (PS3)  DUALSHOCK 3 VIBRACION(9489658)      39,28      ,00    56,90& 2010 11 20A
     57380550640CALIENTA CAMAS DAGA CIN 220V                                      42,90      ,00    68,00  2010 11 20A
     57480550640ALFOMBRA DAGA AB 220V                                             33,80      ,00    53,00& 2010 11 20A
     58482600253TV SONY KD-L32 U4000E                                               ,00      ,00      ,00  2010 11 20A
